Date,Open,High,Low,Close
17-Jun-04,,,,1742.19
18-Jun-04,,,,1737.65
21-Jun-04,,,,1717.99
22-Jun-04,,,,1697.25
23-Jun-04,,,,1658.33
24-Jun-04,,,,1655.79
25-Jun-04,,,,1699.06
28-Jun-04,,,,1751.8
29-Jun-04,,,,1768.81
30-Jun-04,,,,1775.71
01-Jul-04,,,,1793.88
02-Jul-04,,,,1799.06
05-Jul-04,,,,1790.39
06-Jul-04,,,,1802.22
07-Jul-04,,,,1814.47
08-Jul-04,,,,1748.21
09-Jul-04,,,,1789.52
12-Jul-04,,,,1807.4
13-Jul-04,,,,1800.69
14-Jul-04,,,,1807.41
15-Jul-04,,,,1858.04
16-Jul-04,,,,1909.39
19-Jul-04,,,,1953.75
20-Jul-04,,,,1941.17
21-Jul-04,,,,1952.22
22-Jul-04,,,,1974.64
23-Jul-04,,,,1998.27
26-Jul-04,,,,2002.96
27-Jul-04,,,,1959.6
28-Jul-04,,,,1948.7
29-Jul-04,,,,1976.62
30-Jul-04,,,,1984.18
02-Aug-04,,,,1988.3
03-Aug-04,,,,1990.19
04-Aug-04,,,,1999.19
05-Aug-04,,,,2049.69
06-Aug-04,,,,2042.35
09-Aug-04,,,,2061.44
10-Aug-04,,,,2079.46
11-Aug-04,,,,2021
12-Aug-04,,,,1996.9
13-Aug-04,,,,2022.33
16-Aug-04,,,,2028.61
17-Aug-04,,,,2055.57
18-Aug-04,,,,2050.6
19-Aug-04,,,,2075.16
20-Aug-04,,,,2064.28
23-Aug-04,,,,2045.29
24-Aug-04,,,,2064.28
25-Aug-04,,,,2068.94
26-Aug-04,,,,2109.24
27-Aug-04,,,,2137.23
30-Aug-04,,,,2210.17
31-Aug-04,,,,2238.69
01-Sep-04,,,,2274.93
02-Sep-04,,,,2249.49
03-Sep-04,,,,2269.92
06-Sep-04,,,,2309.8
07-Sep-04,,,,2334
08-Sep-04,,,,2358.1
09-Sep-04,,,,2322.29
10-Sep-04,,,,2341.87
13-Sep-04,,,,2351.95
14-Sep-04,,,,2338.22
15-Sep-04,,,,2327.77
16-Sep-04,,,,2370.81
17-Sep-04,,,,2376.63
20-Sep-04,,,,2370.29
21-Sep-04,,,,2385.6
22-Sep-04,,,,2392.66
23-Sep-04,,,,2380.96
24-Sep-04,,,,2416.4
27-Sep-04,,,,2438.26
28-Sep-04,,,,2429.46
29-Sep-04,,,,2448.81
30-Sep-04,,,,2473.62
01-Oct-04,,,,2486.83
04-Oct-04,,,,2501.84
05-Oct-04,,,,2521.53
06-Oct-04,,,,2528.18
07-Oct-04,,,,2562.33
08-Oct-04,,,,2589.57
11-Oct-04,,,,2614.49
12-Oct-04,,,,2540.9
14-Oct-04,,,,2538.41
15-Oct-04,,,,2521.13
18-Oct-04,,,,2516.19
19-Oct-04,,,,2538.42
20-Oct-04,,,,2532.32
21-Oct-04,,,,2534.05
25-Oct-04,,,,2468.02
26-Oct-04,,,,2499.47
27-Oct-04,,,,2537.91
28-Oct-04,,,,2571.76
29-Oct-04,,,,2568.79
01-Nov-04,,,,2602.64
02-Nov-04,,,,2646.79
03-Nov-04,,,,2689.69
04-Nov-04,,,,2695.87
05-Nov-04,,,,2715.21
08-Nov-04,,,,2735.17
09-Nov-04,,,,2723.54
10-Nov-04,,,,2785.08
11-Nov-04,,,,2799.39
12-Nov-04,,,,2838.87
16-Nov-04,,,,2850.69
17-Nov-04,,,,2904.85
18-Nov-04,,,,2945.04
19-Nov-04,,,,2905.74
22-Nov-04,,,,2973.05
23-Nov-04,,,,3020.49
24-Nov-04,,,,3056.89
25-Nov-04,,,,3048.51
29-Nov-04,,,,3084.29
30-Nov-04,,,,3008.12
01-Dec-04,,,,3002.67
02-Dec-04,,,,3013.13
03-Dec-04,,,,3002.56
06-Dec-04,,,,3036.19
07-Dec-04,,,,3056.74
08-Dec-04,,,,3061.56
09-Dec-04,,,,3101.98
10-Dec-04,,,,3124.61
13-Dec-04,,,,3194.27
14-Dec-04,,,,3243.09
15-Dec-04,,,,3222.79
16-Dec-04,,,,3229.54
17-Dec-04,,,,3217.16
20-Dec-04,,,,3259.83
21-Dec-04,,,,3300.98
22-Dec-04,,,,3265.82
23-Dec-04,,,,3317.85
24-Dec-04,,,,3345.99
27-Dec-04,,,,3365.03
28-Dec-04,,,,3419.98
29-Dec-04,,,,3382.18
30-Dec-04,,,,3361.83
31-Dec-04,,,,3431.83
03-Jan-05,,,,3505.83
04-Jan-05,,,,3523.34
05-Jan-05,,,,3382.75
06-Jan-05,,,,3322.46
07-Jan-05,,,,3390.27
10-Jan-05,,,,3429.33
11-Jan-05,,,,3337.66
12-Jan-05,,,,3177.32
13-Jan-05,,,,3295.3
14-Jan-05,,,,3274.76
17-Jan-05,,,,3230.59
18-Jan-05,,,,3272.94
19-Jan-05,,,,3262.3
20-Jan-05,,,,3219.11
24-Jan-05,,,,3205.34
25-Jan-05,,,,3241.65
27-Jan-05,,,,3316.81
28-Jan-05,,,,3369.86
31-Jan-05,,,,3422.55
01-Feb-05,,,,3451.72
02-Feb-05,,,,3490.59
03-Feb-05,,,,3569.64
04-Feb-05,,,,3598.33
07-Feb-05,,,,3624.95
08-Feb-05,,,,3660.86
09-Feb-05,,,,3742.14
10-Feb-05,,,,3761.6
11-Feb-05,,,,3772.76
14-Feb-05,,,,3751.95
15-Feb-05,,,,3702.59
16-Feb-05,,,,3680.52
17-Feb-05,,,,3671.3
18-Feb-05,,,,3710.33
21-Feb-05,,,,3680.87
22-Feb-05,,,,3687.02
23-Feb-05,,,,3711.67
24-Feb-05,,,,3713.76
25-Feb-05,,,,3676.09
28-Feb-05,,,,3729.09
01-Mar-05,,,,3716.26
02-Mar-05,,,,3788.69
03-Mar-05,,,,3871.84
04-Mar-05,,,,3898.22
07-Mar-05,,,,3930.57
08-Mar-05,,,,3973.48
09-Mar-05,,,,3892.67
10-Mar-05,,,,3935.99
11-Mar-05,,,,3943.07
14-Mar-05,,,,3911.06
15-Mar-05,,,,3914.39
16-Mar-05,,,,3961.77
17-Mar-05,,,,3895.77
18-Mar-05,,,,3867.31
21-Mar-05,,,,3860.72
22-Mar-05,,,,3753.35
23-Mar-05,,,,3664.53
24-Mar-05,,,,3601.98
28-Mar-05,,,,3644.02
29-Mar-05,,,,3518.82
30-Mar-05,,,,3604.76
31-Mar-05,,,,3726.7
01-Apr-05,,,,3849.95
04-Apr-05,,,,3887.95
05-Apr-05,,,,3872.55
06-Apr-05,,,,3936.29
07-Apr-05,,,,3953.3
08-Apr-05,,,,3922.65
11-Apr-05,,,,3889.65
12-Apr-05,,,,3924.9
13-Apr-05,,,,3913.75
15-Apr-05,,,,3805.91
18-Apr-05,,,,3784.31
19-Apr-05,,,,3749.85
20-Apr-05,,,,3772.36
21-Apr-05,,,,3850.41
22-Apr-05,,,,3912.8
25-Apr-05,,,,3939.24
26-Apr-05,,,,3954.54
27-Apr-05,,,,3930.24
28-Apr-05,,,,3917.9
29-Apr-05,,,,3839.25
02-May-05,,,,3796.46
03-May-05,,,,3809
04-May-05,,,,3891.29
05-May-05,,,,3943.59
06-May-05,,,,3958.14
09-May-05,,,,4029.89
10-May-05,,,,4055.49
11-May-05,,,,4088.36
12-May-05,,,,4155.44
13-May-05,,,,4225.39
16-May-05,,,,4296.93
17-May-05,,,,4214.65
18-May-05,,,,4230.2
19-May-05,,,,4291.26
20-May-05,,,,4292.59
23-May-05,,,,4351.23
24-May-05,,,,4349.57
25-May-05,,,,4366.18
26-May-05,,,,4344.15
27-May-05,,,,4296.91
30-May-05,,,,4245.67
31-May-05,,,,4300.84
01-Jun-05,,,,4343.2
02-Jun-05,,,,4317.68
03-Jun-05,,,,4382.2
04-Jun-05,,,,4428.97
06-Jun-05,,,,4450.64
07-Jun-05,,,,4471.37
08-Jun-05,,,,4477.12
09-Jun-05,,,,4487.55
10-Jun-05,,,,4472.38
13-Jun-05,,,,4503.92
14-Jun-05,,,,4529.86
15-Jun-05,,,,4567.42
16-Jun-05,,,,4479.9
17-Jun-05,,,,4377.45
20-Jun-05,,,,4320.83
21-Jun-05,,,,4348.24
22-Jun-05,,,,4346.85
23-Jun-05,,,,4376.24
24-Jun-05,,,,4438.39
27-Jun-05,,,,4418.95
28-Jun-05,,,,4333.86
29-Jun-05,,,,4375.99
30-Jun-05,,,,4396.21
01-Jul-05,,,,4460.28
