SlNo,Year,Month,Rainfall,YearMonth
618,1922,6,826,23070
619,1922,7,1270,23071
620,1922,8,910,23072
621,1922,9,507,23073
622,1922,10,1766,23074
623,1922,11,1511,23075
624,1922,12,15,23076
625,1923,1,43,23077
626,1923,2,40,23078
627,1923,3,342,23079
628,1923,4,347,23080
629,1923,5,904,23081
630,1923,6,570,23082
631,1923,7,2587,23083
632,1923,8,1199,23084
633,1923,9,955,23085
634,1923,10,405,23086
635,1923,11,98,23087
636,1923,12,13,23088
637,1924,1,3,23089
638,1924,2,1,23090
639,1924,3,43,23091
640,1924,4,380,23092
641,1924,5,965,23093
642,1924,6,905,23094
643,1924,7,2710,23095
644,1924,8,1205,23096
645,1924,9,1371,23097
646,1924,10,579,23098
647,1924,11,484,23099
648,1924,12,131,23100
649,1925,1,0,23101
650,1925,2,0,23102
651,1925,3,70,23103
652,1925,4,630,23104
653,1925,5,1270,23105
654,1925,6,829,23106
655,1925,7,1448,23107
656,1925,8,1010,23108
657,1925,9,1195,23109
658,1925,10,595,23110
659,1925,11,764,23111
660,1925,12,467,23112
661,1926,1,266,23113
662,1926,2,1,23114
663,1926,3,96,23115
664,1926,4,454,23116
665,1926,5,685,23117
666,1926,6,780,23118
667,1926,7,1791,23119
668,1926,8,1134,23120
669,1926,9,1391,23121
670,1926,10,994,23122
671,1926,11,68,23123
672,1926,12,8,23124
673,1927,1,0,23125
674,1927,2,39,23126
675,1927,3,103,23127
676,1927,4,111,23128
677,1927,5,810,23129
678,1927,6,856,23130
679,1927,7,1671,23131
680,1927,8,759,23132
681,1927,9,1575,23133
682,1927,10,212,23134
683,1927,11,675,23135
684,1927,12,0,23136
685,1928,1,8,23137
686,1928,2,440,23138
687,1928,3,162,23139
688,1928,4,359,23140
689,1928,5,704,23141
690,1928,6,976,23142
691,1928,7,1336,23143
692,1928,8,1336,23144
693,1928,9,369,23145
694,1928,10,2425,23146
695,1928,11,261,23147
696,1928,12,108,23148
697,1929,1,45,23149
698,1929,2,143,23150
699,1929,3,2,23151
700,1929,4,1176,23152
701,1929,5,1015,23153
702,1929,6,1070,23154
703,1929,7,1195,23155
704,1929,8,637,23156
705,1929,9,1706,23157
706,1929,10,1125,23158
707,1929,11,803,23159
708,1929,12,61,23160
709,1930,1,73,23161
710,1930,2,81,23162
711,1930,3,113,23163
712,1930,4,227,23164
713,1930,5,1733,23165
714,1930,6,844,23166
715,1930,7,733,23167
716,1930,8,612,23168
717,1930,9,1601,23169
718,1930,10,2606,23170
719,1930,11,445,23171
720,1930,12,156,23172
721,1931,1,0,23173
722,1931,2,0,23174
723,1931,3,25,23175
724,1931,4,400,23176
725,1931,5,955,23177
726,1931,6,876,23178
727,1931,7,1113,23179
728,1931,8,1476,23180
729,1931,9,1741,23181
730,1931,10,347,23182
731,1931,11,895,23183
732,1931,12,268,23184
733,1932,1,0,23185
734,1932,2,228,23186
735,1932,3,20,23187
736,1932,4,211,23188
737,1932,5,1483,23189
738,1932,6,530,23190
739,1932,7,1591,23191
740,1932,8,2188,23192
741,1932,9,1018,23193
742,1932,10,2186,23194
743,1932,11,1225,23195
744,1932,12,45,23196
745,1933,1,0,23197
746,1933,2,30,23198
747,1933,3,116,23199
748,1933,4,435,23200
749,1933,5,1941,23201
750,1933,6,865,23202
751,1933,7,1711,23203
752,1933,8,2471,23204
753,1933,9,1613,23205
754,1933,10,2396,23206
755,1933,11,121,23207
756,1933,12,439,23208
757,1934,1,81,23209
758,1934,2,32,23210
759,1934,3,8,23211
760,1934,4,572,23212
761,1934,5,565,23213
762,1934,6,1060,23214
763,1934,7,1054,23215
764,1934,8,1011,23216
765,1934,9,334,23217
766,1934,10,2118,23218
767,1934,11,390,23219
768,1934,12,11,23220
769,1935,1,63,23221
770,1935,2,20,23222
771,1935,3,69,23223
772,1935,4,402,23224
773,1935,5,620,23225
774,1935,6,1331,23226
775,1935,7,1341,23227
776,1935,8,1913,23228
777,1935,9,1040,23229
778,1935,10,2103,23230
779,1935,11,80,23231
780,1935,12,71,23232
781,1936,1,1,23233
782,1936,2,37,23234
783,1936,3,257,23235
784,1936,4,153,23236
785,1936,5,1173,23237
786,1936,6,1495,23238
787,1936,7,1235,23239
788,1936,8,924,23240
789,1936,9,1831,23241
790,1936,10,765,23242
791,1936,11,915,23243
792,1936,12,41,23244
793,1937,1,1,23245
794,1937,2,150,23246
795,1937,3,263,23247
796,1937,4,895,23248
797,1937,5,1035,23249
798,1937,6,617,23250
799,1937,7,1571,23251
800,1937,8,650,23252
801,1937,9,1115,23253
802,1937,10,1311,23254
803,1937,11,248,23255
804,1937,12,108,23256
805,1938,1,0,23257
806,1938,2,29,23258
807,1938,3,183,23259
808,1938,4,327,23260
809,1938,5,395,23261
810,1938,6,806,23262
811,1938,7,1079,23263
812,1938,8,2201,23264
813,1938,9,1646,23265
814,1938,10,245,23266
815,1938,11,166,23267
816,1938,12,30,23268
817,1939,1,46,23269
818,1939,2,0,23270
819,1939,3,136,23271
820,1939,4,815,23272
821,1939,5,477,23273
822,1939,6,639,23274
823,1939,7,1206,23275
824,1939,8,1463,23276
825,1939,9,930,23277
826,1939,10,2226,23278
827,1939,11,775,23279
828,1939,12,0,23280
829,1940,1,0,23281
830,1940,2,0,23282
831,1940,3,29,23283
832,1940,4,514,23284
833,1940,5,1356,23285
834,1940,6,1470,23286
835,1940,7,1360,23287
836,1940,8,1218,23288
837,1940,9,1170,23289
838,1940,10,1613,23290
839,1940,11,1631,23291
840,1940,12,195,23292
841,1941,1,10,23293
842,1941,2,73,23294
843,1941,3,1,23295
844,1941,4,635,23296
845,1941,5,920,23297
846,1941,6,1283,23298
847,1941,7,1255,23299
848,1941,8,1376,23300
849,1941,9,1356,23301
850,1941,10,1203,23302
851,1941,11,195,23303
852,1941,12,695,23304
853,1942,1,0,23305
854,1942,2,40,23306
855,1942,3,6,23307
856,1942,4,545,23308
857,1942,5,1115,23309
858,1942,6,1273,23310
859,1942,7,1568,23311
860,1942,8,1231,23312
861,1942,9,775,23313
862,1942,10,1176,23314
863,1942,11,357,23315
864,1942,12,250,23316
865,1943,1,256,23317
866,1943,2,0,23318
867,1943,3,75,23319
868,1943,4,577,23320
869,1943,5,1631,23321
870,1943,6,630,23322
871,1943,7,1505,23323
872,1943,8,545,23324
873,1943,9,1423,23325
874,1943,10,2847,23326
875,1943,11,650,23327
876,1943,12,0,23328
877,1944,1,0,23329
878,1944,2,402,23330
879,1944,3,415,23331
880,1944,4,218,23332
881,1944,5,805,23333
882,1944,6,895,23334
883,1944,7,1766,23335
884,1944,8,632,23336
885,1944,9,1291,23337
886,1944,10,1681,23338
887,1944,11,796,23339
888,1944,12,83,23340
889,1945,1,0,23341
890,1945,2,0,23342
891,1945,3,0,23343
892,1945,4,535,23344
893,1945,5,1088,23345
894,1945,6,517,23346
895,1945,7,1958,23347
896,1945,8,789,23348
897,1945,9,739,23349
898,1945,10,700,23350
899,1945,11,302,23351
900,1945,12,0,23352
901,1946,1,0,23353
902,1946,2,18,23354
903,1946,3,177,23355
904,1946,4,480,23356
905,1946,5,868,23357
906,1946,6,828,23358
907,1946,7,1199,23359
908,1946,8,1795,23360
909,1946,9,1616,23361
910,1946,10,1165,23362
911,1946,11,1520,23363
912,1946,12,402,23364
913,1947,1,88,23365
914,1947,2,55,23366
915,1947,3,133,23367
916,1947,4,237,23368
917,1947,5,605,23369
918,1947,6,930,23370
919,1947,7,1521,23371
920,1947,8,1936,23372
921,1947,9,1215,23373
922,1947,10,1286,23374
923,1947,11,126,23375
924,1947,12,167,23376
925,1948,1,55,23377
926,1948,2,0,23378
927,1948,3,45,23379
928,1948,4,592,23380
929,1948,5,1476,23381
930,1948,6,1251,23382
931,1948,7,1215,23383
932,1948,8,2150,23384
933,1948,9,605,23385
934,1948,10,1075,23386
935,1948,11,939,23387
936,1948,12,50,23388
937,1949,1,0,23389
938,1949,2,6,23390
939,1949,3,25,23391
940,1949,4,236,23392
941,1949,5,863,23393
942,1949,6,750,23394
943,1949,7,1596,23395
944,1949,8,1306,23396
945,1949,9,1016,23397
946,1949,10,1711,23398
947,1949,11,71,23399
948,1949,12,0,23400
949,1950,1,2,23401
950,1950,2,165,23402
951,1950,3,30,23403
952,1950,4,13,23404
953,1950,5,889,23405
954,1950,6,664,23406
955,1950,7,1906,23407
956,1950,8,1490,23408
957,1950,9,1476,23409
958,1950,10,1276,23410
959,1950,11,861,23411
960,1950,12,1,23412
961,1951,1,1,23413
962,1951,2,0,23414
963,1951,3,140,23415
964,1951,4,577,23416
965,1951,5,1481,23417
966,1951,6,818,23418
967,1951,7,1783,23419
968,1951,8,602,23420
969,1951,9,1965,23421
970,1951,10,1308,23422
971,1951,11,320,23423
972,1951,12,0,23424
973,1952,1,0,23425
974,1952,2,176,23426
975,1952,3,5,23427
976,1952,4,375,23428
977,1952,5,960,23429
978,1952,6,540,23430
979,1952,7,1274,23431
980,1952,8,1190,23432
981,1952,9,610,23433
982,1952,10,1961,23434
983,1952,11,0,23435
984,1952,12,604,23436
